Año;AMAZONAS;ANCASH;APURIMAC;AREQUIPA;AYACUCHO;CAJAMARCA;CALLAO;CUSCO;HUANCAVELICA;HUANUCO;ICA;JUNIN;LA LIBERTAD;LAMBAYEQUE;LIMA;LIMA_METROPOLITANA;LIMA_PROVINCIAS;LORETO;MADRE DE DIOS;MOQUEGUA;PASCO;PIURA;PUNO;SAN MARTIN;TACNA;TUMBES;UCAYALI;;
2011;229,566;572,994;238,068;635,086;332,839;803,748;482,295;715,516;241,552;429,235;389,567;675,311;876,785;610,473;4,718,630;4,260,795;457,835;462,343;68,663;93,911;149,024;842,760;765,116;429,376;169,833;121,585;253,144;;
2012;221,647;584,338;240,707;628,890;320,915;768,096;487,475;734,653;249,525;431,168;394,177;678,426;911,171;616,313;4,867,342;4,397,181;470,161;485,422;72,338;98,309;152,123;867,584;765,236;415,878;169,580;123,224;258,193;;
2013;226,195;583,825;250,903;661,775;340,413;791,903;504,108;726,343;249,850;439,034;404,387;679,166;897,182;617,555;4,847,012;4,381,178;465,834;499,286;75,010;100,606;153,390;869,357;780,965;429,112;172,542;123,640;259,299;;
2014;223,700;608,587;252,462;669,319;354,322;795,937;504,198;732,907;259,185;450,970;404,496;685,474;911,855;602,909;4,828,045;4,365,182;462,863;493,484;75,910;100,217;151,481;890,144;795,734;430,793;178,000;125,053;271,648;;
2015;226,427;608,835;263,827;665,970;351,035;801,439;512,053;752,872;256,068;458,586;389,695;698,131;918,700;615,693;4,925,696;4,450,969;474,727;495,347;79,029;99,674;152,771;887,539;775,855;418,854;173,259;124,699;267,193;;
2016;232,665;611,970;257,073;657,192;353,225;825,604;529,009;736,694;258,950;452,704;411,412;705,136;945,852;633,961;5,047,736;4,560,883;486,853;500,078;77,848;101,465;160,171;894,582;770,923;446,494;182,479;128,883;275,004;;
2017;237,924;614,629;258,485;678,524;359,804;870,321;533,480;755,115;264,309;451,521;407,923;699,710;976,347;628,416;5,190,232;4,694,263;495,969;505,059;81,909;102,279;159,964;904,966;775,053;472,240;179,524;132,283;270,966;;
2018;238,523;618,085;262,877;701,369;372,899;857,612;531,243;736,502;265,582;461,374;421,682;726,004;997,635;654,882;5,249,759;4,757,687;492,072;513,936;85,957;102,938;167,514;945,942;795,109;470,897;186,222;134,065;277,875;;
2019;249,144;638,801;266,623;708,631;374,657;870,541;546,752;769,867;270,928;462,483;441,246;751,791;1,017,938;664,911;5,344,772;4,845,806;498,966;514,903;83,691;106,011;162,223;990,368;800,917;491,172;186,199;135,700;282,829;;
2020;237,411;567,280;258,928;550,857;352,476;848,931;425,903;726,976;280,809;439,624;376,037;654,030;844,669;569,285;4,222,728;3,804,760;417,967;500,265;79,956;94,060;164,695;889,443;795,998;484,489;152,731;114,391;269,808;;
2021;258,801;640,777;285,659;685,283;395,192;916,002;521,254;792,295;301,377;492,224;430,691;746,770;978,289;663,156;5,023,597;4,549,850;473,747;554,446;93,171;107,352;177,246;1,012,549;887,882;537,987;182,114;136,282;299,744;;
2022-1;230,357;711,806;343,761;983,053;476,153;820,500;614,222;768,322;327,315;409,907;498,547;750,490;813,169;601,692;5,489,629;;;400,778;85,329;124,885;179,900;938,102;962,154;498,040;226,352;139,511;272,471;;
2022-2;242,317;674,456;317,293;964,381;436,717;747,944;561,484;791,066;314,752;416,654;487,926;805,048;891,845;624,198;5,673,464;;;470,405;93,249;128,820;158,591;1,052,346;954,338;502,508;240,042;138,681;299,027;;
2022-3;240,113;702,561;310,844;929,895;415,398;772,320;587,356;826,534;306,198;444,348;507,799;777,316;953,928;642,192;5,580,185;;;409,618;89,303;122,748;156,527;1,007,953;923,131;500,358;225,336;152,033;291,296;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
