Año;AMAZONAS;ANCASH;APURIMAC;AREQUIPA;AYACUCHO;CAJAMARCA;CALLAO;CUSCO;HUANCAVELICA;HUANUCO;ICA;JUNIN;LA LIBERTAD;LAMBAYEQUE;LIMA;LIMA_METROPOLITANA;LIMA_PROVINCIAS;LORETO;MADRE DE DIOS;MOQUEGUA;PASCO;PIURA;PUNO;SAN MARTIN;TACNA;TUMBES;UCAYALI
2011;89.6;82.0;89.2;69.0;89.0;87.1;61.0;83.5;91.7;88.1;67.3;83.1;78.4;83.6;60.6;59.3;72.3;83.9;79.2;67.5;79.6;82.2;90.0;86.3;71.1;79.6;80.3
2012;87.2;80.1;94.2;67.0;88.2;87.4;59.3;82.2;91.6;86.4;66.8;83.2;76.5;80.3;61.2;59.9;73.0;82.6;74.7;63.8;79.5;80.9;90.3;81.9;68.8;78.2;80.6
2013;87.6;79.5;88.8;65.3;88.7;89.1;56.9;80.2;89.7;85.9;63.3;82.4;76.6;79.2;60.4;59.0;73.8;83.1;74.7;66.2;79.8;81.2;88.9;84.1;69.1;78.4;81.1
2014;87.6;79.7;87.1;67.5;89.3;88.0;54.2;81.6;91.4;86.3;63.6;82.9;74.8;79.2;57.1;55.1;76.1;81.9;75.7;67.0;79.7;82.2;88.8;85.5;71.1;77.5;80.8
2015;87.2;82.0;88.3;67.2;89.7;89.5;53.7;83.0;90.3;87.0;61.9;82.7;77.0;77.1;57.9;56.1;75.0;81.9;76.0;64.9;81.4;81.4;89.3;83.3;71.7;78.3;79.2
2016;86.6;80.7;90.4;67.4;87.6;88.2;56.4;82.3;90.9;87.0;63.0;81.8;72.4;75.5;55.9;53.7;76.5;83.3;78.2;65.6;80.4;81.2;85.3;85.2;73.9;80.9;79.0
2017;84.9;80.2;86.7;65.4;88.9;90.1;56.3;82.5;91.3;85.4;62.2;82.2;72.4;75.0;56.8;56.7;77.4;80.7;76.2;68.8;79.2;77.7;88.1;85.6;73.2;77.3;79.9
2018;85.4;80.3;88.0;65.3;87.1;89.3;56.1;81.6;91.4;87.3;61.1;83.5;72.5;74.2;58.6;56.9;74.6;81.8;76.2;64.4;80.9;78.3;87.6;84.6;74.2;76.0;77.6
2019;86.6;78.7;85.4;66.2;87.3;87.9;57.8;81.7;92.0;86.6;61.4;80.5;72.8;75.4;60.2;58.7;75.0;79.2;73.8;65.4;78.1;78.9;87.6;82.5;72.8;79.4;80.5
2020;88.1;81.9;88.8;65.9;87.5;90.8;59.6;89.6;92.9;88.2;64.3;83.6;72.0;72.5;60.0;58.1;77.3;83.5;81.7;68.4;87.0;81.6;89.6;89.7;70.2;82.0;82.2
2021;88.3;83.3;90.6;69.1;88.8;89.4;62.1;87.2;94.8;89.9;69.1;85.3;73.3;76.2;63.5;62.0;78.3;85.9;80.4;70.1;85.5;82.1;90.4;89.3;77.9;81.9;85.3
2022-1;91.1;81.4;91.5;72.6;86.2;88.2;58.9;78.7;93.7;89.4;66.1;77.5;72.1;75.0;63.1;;;84.3;75.5;65.2;76.2;73.5;91.1;85.5;77.5;75.7;82.9
2022-2;91.6;84.8;85.0;66.6;88.4;89.9;61.4;84.7;89.7;85.0;68.8;81.5;74.9;72.3;60.7;;;78.2;80.7;63.7;79.2;80.5;93.4;85.7;73.0;74.0;80.5
2022-3;89.5;82.2;87.3;69.2;85.5;87.0;61.8;85.0;87.9;85.2;64.5;81.1;74.8;77.3;58.2;;;83.6;78.8;64.0;78.9;81.8;90.7;77.9;75.0;74.2;83.4
;;;;;;;;;;;;;;;;;;;;;;;;;;;
